Source Domain,Page URL,Error Code,Asset Type
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/2-1.webp?resize=300%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/2-1.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/3-1.webp?fit=600%2C600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/3-1.webp?w=600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/3-1.webp?resize=300%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/3-1.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/4-1.webp?fit=600%2C600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/4-1.webp?resize=300%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/4-1.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/Murti-making-of1.gif?fit=800%2C1200&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design128.webp?fit=600%2C600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design128.webp?w=600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design128.webp?resize=300%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design128.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design129.webp?fit=600%2C600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design129.webp?w=600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design129.webp?resize=300%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/untitled-design129.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/2-2-1.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop1.webp?fit=600%2C600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop1.webp?w=600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop1.webp?resize=300%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop1.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop2.webp?fit=600%2C600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop2.webp?w=600&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop2.webp?resize=300%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/work-shop2.webp?resize=150%2C150&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/Murti-making-of5.gif?fit=800%2C1200&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-18-at-10-12-45.webp?fit=1280%2C960&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-18-at-10-12-45.webp?w=1280&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-18-at-10-12-45.webp?resize=300%2C225&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-18-at-10-12-45.webp?resize=1024%2C768&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-18-at-10-12-45.webp?resize=768%2C576&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/2-2.webp?fit=150%2C150&ssl=1,429,unknown
